Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop
11/13/2019,6:59:03,2408,3,on,35.311782837,-80.733093262,Gold,Wallis Hall E/Light Rail
11/13/2019,6:59:44,2409,1,off,35.309314728,-80.741333008,Silver,EPIC S
11/13/2019,6:59:51,2402,1,off,35.308998108,-80.729255676,Silver,Hickory Hall North
11/13/2019,7:00:24,2406,1,off,35.307559967,-80.729354858,Green,Fretwell N
11/13/2019,7:01:11,2407,12,off,35.307994843,-80.734733582,Silver,Woodward Hall East
11/13/2019,7:01:15,2407,2,on,35.307994843,-80.734733582,Silver,Woodward Hall East
11/13/2019,7:01:35,2402,8,on,35.310325623,-80.726707458,Silver,Martin Hall
11/13/2019,7:02:05,2401,1,on,35.311988831,-80.733390808,Green,Wallis Hall W/Light Rail
11/13/2019,7:02:06,2409,1,on,35.311019897,-80.743110657,Silver,Portal W
11/13/2019,7:02:08,2412,1,on,35.302623749,-80.737739563,Green,Alumni Way E
11/13/2019,7:02:11,2408,1,off,35.305149078,-80.728263855,Gold,Cato Hall S
11/13/2019,7:02:41,2407,24,off,35.308120728,-80.73273468,Silver,Student Union E
11/13/2019,7:02:51,2407,1,on,35.308120728,-80.73273468,Silver,Student Union E
11/13/2019,7:02:52,2403,1,on,35.308139801,-80.732696533,Gold,Student Union W
11/13/2019,7:03:01,2408,2,off,35.303501129,-80.729484558,Gold,Robinson Hall S
11/13/2019,7:03:13,2402,2,on,35.307220459,-80.725257874,Silver,Lot 5A
11/13/2019,7:03:47,2401,3,on,35.310237885,-80.736160278,Green,Belk Hall S
11/13/2019,7:03:47,2407,3,off,35.308086395,-80.730377197,Silver,Aux Services East
11/13/2019,7:03:58,2409,11,on,35.30947876,-80.744010925,Silver,CRI Deck
11/13/2019,7:05:07,2401,1,off,35.307964325,-80.734794617,Green,Woodward Hall East
11/13/2019,7:05:50,2409,1,off,35.311626434,-80.742462158,Silver,PORTAL East
11/13/2019,7:06:01,2401,2,off,35.308078766,-80.732772827,Green,Student Union E
11/13/2019,7:06:15,2402,6,off,35.30814743,-80.732666016,Silver,Student Union W
11/13/2019,7:06:39,2402,1,on,35.30814743,-80.732666016,Silver,Student Union W
11/13/2019,7:06:50,2403,1,off,35.311767578,-80.733078003,Gold,Wallis Hall E/Light Rail
11/13/2019,7:07:28,2412,1,off,35.307559967,-80.729286194,Green,Fretwell N
11/13/2019,7:07:32,2409,1,on,35.311058044,-80.741523743,Silver,Grigg Hall E
11/13/2019,7:07:53,2407,3,on,35.310310364,-80.726661682,Silver,Martin Hall
11/13/2019,7:08:04,2406,1,on,35.311962128,-80.733451843,Green,Wallis Hall W/Light Rail
11/13/2019,7:08:08,2409,1,on,35.30991745,-80.741874695,Silver,EPIC N
11/13/2019,7:08:43,2402,1,off,35.308151245,-80.732666016,Silver,Student Union W
11/13/2019,7:08:47,2402,1,on,35.308151245,-80.732666016,Silver,Student Union W
11/13/2019,7:09:01,2407,1,on,35.308734894,-80.725074768,Silver,Lot 6
11/13/2019,7:09:12,2406,2,on,35.310279846,-80.73613739,Green,Belk Hall S
11/13/2019,7:10:18,2410,6,on,35.30941391,-80.74407196,Silver,CRI Deck
11/13/2019,7:10:31,2401,1,off,35.303512573,-80.729522705,Green,Robinson Hall S
11/13/2019,7:10:43,2407,2,on,35.306369781,-80.726791382,Silver,East Deck 2
11/13/2019,7:11:18,2409,11,off,35.308128357,-80.732757568,Silver,Student Union E
11/13/2019,7:11:20,2409,2,on,35.308128357,-80.732757568,Silver,Student Union E
11/13/2019,7:11:22,2406,1,on,35.308105469,-80.732879639,Green,Student Union E
11/13/2019,7:12:02,2402,1,on,35.307987213,-80.737129211,Silver,Student Union W
11/13/2019,7:12:09,2407,1,off,35.307609558,-80.729347229,Silver,Fretwell N
11/13/2019,7:12:32,2409,1,off,35.308097839,-80.730407715,Silver,Aux Services East
11/13/2019,7:12:32,2412,1,on,35.313526154,-80.731933594,Green,North Deck
11/13/2019,7:12:39,2401,1,off,35.304405212,-80.732803345,Green,Reese East
11/13/2019,7:13:18,2402,3,off,35.309337616,-80.741333008,Silver,EPIC S
11/13/2019,7:13:20,2406,1,off,35.307006836,-80.729522705,Green,Fretwell S
11/13/2019,7:13:24,2407,1,on,35.308139801,-80.732688904,Silver,Student Union W
11/13/2019,7:13:28,2407,2,off,35.308139801,-80.732688904,Silver,Student Union W
11/13/2019,7:15:26,2406,3,off,35.303524017,-80.729560852,Green,Robinson Hall S
11/13/2019,7:15:26,2410,1,off,35.307945251,-80.734840393,Silver,CRI Deck
11/13/2019,7:15:28,2407,3,on,35.30814743,-80.732696533,Silver,Student Union W
11/13/2019,7:15:44,2409,6,on,35.310310364,-80.726654053,Silver,Martin Hall
11/13/2019,7:16:32,2402,3,off,35.309432983,-80.744117737,Silver,CRI Deck
11/13/2019,7:16:32,2412,3,on,35.311985016,-80.733421326,Green,Wallis Hall W/Light Rail
11/13/2019,7:16:35,2401,3,on,35.301116943,-80.73575592,Green,South Village Deck
11/13/2019,7:16:38,2402,5,on,35.309432983,-80.744117737,Silver,CRI Deck
11/13/2019,7:16:38,2409,4,on,35.308773041,-80.72505188,Silver,Lot 6
11/13/2019,7:16:52,2410,1,on,35.308105469,-80.732788086,Silver,CRI Deck
11/13/2019,7:17:36,2410,6,off,35.308094025,-80.732795715,Silver,CRI Deck
11/13/2019,7:17:40,2409,2,off,35.307247162,-80.725273132,Silver,Lot 5A
11/13/2019,7:17:49,2401,1,off,35.302124023,-80.73274231,Green,Levine Hall E
11/13/2019,7:17:56,2407,7,off,35.309368134,-80.741325378,Silver,EPIC S
11/13/2019,7:17:58,2403,2,on,35.303356171,-80.729446411,Gold,Robinson Hall N
11/13/2019,7:18:25,2412,3,on,35.310241699,-80.736183167,Green,Belk Hall S
11/13/2019,7:19:26,2409,3,off,35.307502747,-80.729301453,Silver,Fretwell N
11/13/2019,7:20:06,2403,1,off,35.307632446,-80.729354858,Gold,Fretwell N
11/13/2019,7:20:20,2406,5,on,35.301166534,-80.735778809,Green,South Village Deck
11/13/2019,7:20:44,2409,6,off,35.308113098,-80.732696533,Silver,Student Union W
11/13/2019,7:21:04,2409,1,off,35.308094025,-80.732696533,Silver,Student Union W
11/13/2019,7:21:11,2401,1,off,35.307582855,-80.729316711,Green,Fretwell N
11/13/2019,7:21:13,2408,1,on,35.305118561,-80.728271484,Gold,Cato Hall S
11/13/2019,7:21:18,2409,9,on,35.308086395,-80.732704163,Silver,Student Union W
11/13/2019,7:21:26,2407,3,on,35.30941391,-80.74407959,Silver,CRI Deck
11/13/2019,7:21:39,2412,2,on,35.308128357,-80.732803345,Green,Student Union E
11/13/2019,7:21:48,2410,4,on,35.308818817,-80.725097656,Silver,CRI Deck
11/13/2019,7:21:54,2406,3,on,35.301174164,-80.735778809,Green,South Village Deck
11/13/2019,7:23:07,2412,1,on,35.308063507,-80.730392456,Green,Aux Services East
11/13/2019,7:23:28,2410,1,on,35.306358337,-80.726844788,Silver,CRI Deck
11/13/2019,7:23:57,2408,4,on,35.30128479,-80.735626221,Gold,Hunt Hall
11/13/2019,7:24:38,2402,3,off,35.308124542,-80.732788086,Silver,Student Union E
11/13/2019,7:24:41,2412,3,off,35.307006836,-80.729530334,Green,Fretwell S
11/13/2019,7:24:42,2406,2,off,35.303386688,-80.729469299,Green,Robinson Hall N
11/13/2019,7:24:42,2410,3,off,35.307559967,-80.729301453,Silver,CRI Deck
11/13/2019,7:24:46,2409,8,off,35.309379578,-80.741333008,Silver,EPIC S
11/13/2019,7:24:53,2401,6,on,35.313503265,-80.731887817,Green,North Deck
11/13/2019,7:24:55,2408,1,on,35.302520752,-80.737350464,Gold,Alumni Way W
11/13/2019,7:25:36,2406,1,off,35.305118561,-80.728225708,Green,Cato Hall N
11/13/2019,7:25:46,2403,1,off,35.311737061,-80.733055115,Gold,Wallis Hall E/Light Rail
11/13/2019,7:25:48,2410,1,on,35.308197021,-80.732627869,Silver,CRI Deck
11/13/2019,7:25:52,2403,1,on,35.311737061,-80.733055115,Gold,Wallis Hall E/Light Rail
11/13/2019,7:25:54,2410,2,off,35.308193207,-80.732627869,Silver,CRI Deck
11/13/2019,7:26:18,2402,2,off,35.308063507,-80.730415344,Silver,Aux Services East
11/13/2019,7:26:22,2408,1,off,35.304298401,-80.735061646,Gold,Cone Deck East
11/13/2019,7:26:27,2412,2,off,35.303516388,-80.729530334,Green,Robinson Hall S
11/13/2019,7:26:52,2406,4,off,35.307575226,-80.729309082,Green,Fretwell N
11/13/2019,7:28:07,2412,3,off,35.304389954,-80.732765198,Green,Reese East
11/13/2019,7:28:14,2401,1,off,35.311958313,-80.73336792,Green,Wallis Hall W/Light Rail
