,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
1123,11/13/2019,10:16:53,2403,1,off,35.303592682,-80.729530334,Gold,Fretwell N,Robinson Hall S
1126,11/13/2019,10:17:20,2409,1,off,35.307174683,-80.728858948,Silver,Fretwell N,Fretwell S
1134,11/13/2019,10:18:27,2403,1,off,35.302093506,-80.732696533,Gold,Fretwell N,Levine Hall E
1139,11/13/2019,10:18:56,2403,5,on,35.302017212,-80.732673645,Gold,Fretwell N,Levine Hall E
1152,11/13/2019,10:20:19,2403,2,off,35.301456451,-80.735565186,Gold,Fretwell N,Hunt Hall
1153,11/13/2019,10:20:21,2403,2,on,35.30147934,-80.735580444,Gold,Fretwell N,Hunt Hall
1157,11/13/2019,10:21:24,2411,2,on,35.308082581,-80.729736328,Silver,East Deck 2,Aux Services East
1158,11/13/2019,10:21:34,2412,1,on,35.308349609,-80.735084534,Green,Belk Hall S,Woodward Hall East
1165,11/13/2019,10:22:40,2412,4,off,35.308074951,-80.732650757,Green,Belk Hall S,Student Union E
1166,11/13/2019,10:22:46,2411,2,off,35.30821991,-80.732711792,Silver,East Deck 2,Student Union W
1167,11/13/2019,10:22:50,2411,3,on,35.308216095,-80.732711792,Silver,East Deck 2,Student Union W
1175,11/13/2019,10:23:52,2412,1,off,35.308013916,-80.730308533,Green,Belk Hall S,Aux Services East
1178,11/13/2019,10:24:06,2403,1,off,35.304359436,-80.732345581,Gold,Fretwell N,Reese East
1184,11/13/2019,10:24:56,2412,1,on,35.307086945,-80.729560852,Green,Belk Hall S,Fretwell S
1185,11/13/2019,10:24:58,2412,2,off,35.307086945,-80.729560852,Green,Belk Hall S,Fretwell S
1188,11/13/2019,10:25:27,2411,5,off,35.309604645,-80.741592407,Silver,East Deck 2,EPIC S
1194,11/13/2019,10:26:26,2403,2,on,35.303260803,-80.729179382,Gold,Fretwell N,Robinson Hall N
1197,11/13/2019,10:27:04,2412,4,off,35.303539276,-80.729545593,Green,Belk Hall S,Robinson Hall S
1198,11/13/2019,10:27:05,2411,1,off,35.310928345,-80.741477966,Silver,East Deck 2,Grigg Hall W
1202,11/13/2019,10:27:20,2401,2,on,35.314945221,-80.733474731,Green,North Deck,Wallis Hall W/Light Rail
1212,11/13/2019,10:29:38,2412,1,off,35.304725647,-80.735580444,Green,Belk Hall S,Cone Deck East
1217,11/13/2019,10:30:51,2411,2,off,35.309528351,-80.744110107,Silver,East Deck 2,CRI Deck
1222,11/13/2019,10:32:12,2401,1,off,35.310749054,-80.736763,Green,Wallis Hall W/Light Rail,Belk Hall S
1223,11/13/2019,10:32:20,2401,2,on,35.310562134,-80.736587524,Green,Wallis Hall W/Light Rail,Belk Hall S
1225,11/13/2019,10:32:37,2411,1,on,35.31231308,-80.741767883,Silver,East Deck 2,Duke Centennial Hall East
1226,11/13/2019,10:33:06,2412,7,on,35.301105499,-80.735679626,Green,Belk Hall S,South Village Deck
1231,11/13/2019,10:34:21,2407,9,off,35.308349609,-80.730712891,Silver,Woodward Hall East,Aux Services East
1232,11/13/2019,10:34:31,2411,1,off,35.309890747,-80.741821289,Silver,East Deck 2,EPIC S
1233,11/13/2019,10:34:33,2411,2,on,35.309890747,-80.741821289,Silver,East Deck 2,EPIC S
1234,11/13/2019,10:34:36,2412,1,on,35.302185059,-80.73274231,Green,Belk Hall S,Levine Hall E
1236,11/13/2019,10:34:50,2401,1,off,35.309059143,-80.733802795,Green,Belk Hall S,Student Union E
1237,11/13/2019,10:35:03,2407,6,on,35.308345795,-80.730712891,Silver,Woodward Hall East,Aux Services East
1241,11/13/2019,10:35:28,2401,8,on,35.309074402,-80.733818054,Green,Belk Hall S,Student Union E
1245,11/13/2019,10:37:00,2401,5,off,35.30928421,-80.731697083,Green,Belk Hall S,Student Union W
1246,11/13/2019,10:37:04,2412,3,on,35.30487442,-80.727981567,Green,Belk Hall S,Cato Hall N
1247,11/13/2019,10:37:06,2412,4,off,35.30487442,-80.727981567,Green,Belk Hall S,Cato Hall N
1251,11/13/2019,10:38:22,2401,2,on,35.307765961,-80.730392456,Green,Belk Hall S,Aux Services East
1252,11/13/2019,10:38:24,2401,9,off,35.307765961,-80.730392456,Green,Belk Hall S,Aux Services East
1254,11/13/2019,10:38:36,2412,3,off,35.307655334,-80.729316711,Green,Belk Hall S,Fretwell N
1255,11/13/2019,10:38:37,2407,8,off,35.308792114,-80.725311279,Silver,Woodward Hall East,Lot 6
1256,11/13/2019,10:38:42,2412,1,on,35.307678223,-80.729354858,Green,Belk Hall S,Fretwell N
1257,11/13/2019,10:38:43,2411,3,off,35.30803299,-80.730316162,Silver,East Deck 2,Aux Services East
1258,11/13/2019,10:38:45,2411,7,on,35.30803299,-80.730316162,Silver,East Deck 2,Aux Services East
1261,11/13/2019,10:38:51,2407,18,on,35.308868408,-80.725311279,Silver,Woodward Hall East,Lot 6
1265,11/13/2019,10:40:38,2401,3,off,35.303840637,-80.729927063,Green,Belk Hall S,Robinson Hall S
1266,11/13/2019,10:40:41,2407,2,off,35.305805206,-80.727371216,Silver,Woodward Hall East,East Deck 2
1267,11/13/2019,10:40:45,2411,2,on,35.31054306,-80.729148865,Silver,East Deck 2,Student Health N
1268,11/13/2019,10:40:47,2407,8,on,35.305831909,-80.727539063,Silver,Woodward Hall East,East Deck 2
1275,11/13/2019,10:42:04,2412,1,on,35.313564301,-80.731880188,Green,Belk Hall S,North Deck
1276,11/13/2019,10:42:09,2401,5,off,35.304416656,-80.732818604,Green,Belk Hall S,Reese East
1279,11/13/2019,10:42:31,2407,3,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
