,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop,CorrectStop
68,11/13/2019,6:58:07,2401,1,on,35.31072,-80.72929,Green,Student Health N,,
69,11/13/2019,6:58:27,2402,3,off,35.30807,-80.73036,Silver,Aux Services East,,
70,11/13/2019,6:58:48,2407,1,on,35.30987,-80.74184,Silver,EPIC N,,
71,11/13/2019,6:59:03,2408,3,on,35.31178,-80.73309,Gold,Wallis Hall E/Light Rail,,
72,11/13/2019,6:59:44,2409,1,off,35.30931,-80.74133,Silver,EPIC S,,
73,11/13/2019,6:59:51,2402,1,off,35.309,-80.72926,Silver,Hickory Hall North,,
74,11/13/2019,7:00:24,2406,1,off,35.30756,-80.72935,Green,Fretwell N,,
75,11/13/2019,7:01:11,2407,12,off,35.30799,-80.73473,Silver,Woodward Hall East,,
76,11/13/2019,7:01:15,2407,2,on,35.30799,-80.73473,Silver,Woodward Hall East,,
77,11/13/2019,7:01:35,2402,8,on,35.31033,-80.72671,Silver,Martin Hall,,
78,11/13/2019,7:02:05,2401,1,on,35.31199,-80.73339,Green,Wallis Hall W/Light Rail,,
79,11/13/2019,7:02:06,2409,1,on,35.31102,-80.74311,Silver,Portal W,,
80,11/13/2019,7:02:08,2412,1,on,35.30262,-80.73774,Green,Alumni Way E,,
81,11/13/2019,7:02:11,2408,1,off,35.30515,-80.72826,Gold,Cato Hall S,,
82,11/13/2019,7:02:41,2407,24,off,35.30812,-80.73273,Silver,Student Union E,,
83,11/13/2019,7:02:51,2407,1,on,35.30812,-80.73273,Silver,Student Union E,,
84,11/13/2019,7:02:52,2403,1,on,35.30814,-80.7327,Gold,Student Union W,,
85,11/13/2019,7:03:01,2408,2,off,35.3035,-80.72948,Gold,Robinson Hall S,,
86,11/13/2019,7:03:13,2402,2,on,35.30722,-80.72526,Silver,Lot 5A,,
87,11/13/2019,7:03:47,2401,3,on,35.31024,-80.73616,Green,Belk Hall S,,
88,11/13/2019,7:03:47,2407,3,off,35.30809,-80.73038,Silver,Aux Services East,,
89,11/13/2019,7:03:58,2409,11,on,35.30948,-80.74401,Silver,CRI Deck,,
90,11/13/2019,7:05:07,2401,1,off,35.30796,-80.73479,Green,Woodward Hall East,,
91,11/13/2019,7:05:50,2409,1,off,35.31163,-80.74246,Silver,PORTAL East,,
92,11/13/2019,7:06:01,2401,2,off,35.30808,-80.73277,Green,Student Union E,,
93,11/13/2019,7:06:15,2402,6,off,35.30815,-80.73267,Silver,Student Union W,,
94,11/13/2019,7:06:39,2402,1,on,35.30815,-80.73267,Silver,Student Union W,,
95,11/13/2019,7:06:50,2403,1,off,35.31177,-80.73308,Gold,Wallis Hall E/Light Rail,,
96,11/13/2019,7:07:28,2412,1,off,35.30756,-80.72929,Green,Fretwell N,,
97,11/13/2019,7:07:32,2409,1,on,35.31106,-80.74152,Silver,Grigg Hall E,,
98,11/13/2019,7:07:53,2407,3,on,35.31031,-80.72666,Silver,Martin Hall,,
99,11/13/2019,7:08:04,2406,1,on,35.31196,-80.73345,Green,Wallis Hall W/Light Rail,,
100,11/13/2019,7:08:08,2409,1,on,35.30992,-80.74187,Silver,EPIC N,,
101,11/13/2019,7:08:43,2402,1,off,35.30815,-80.73267,Silver,Student Union W,,
102,11/13/2019,7:08:47,2402,1,on,35.30815,-80.73267,Silver,Student Union W,,
103,11/13/2019,7:09:01,2407,1,on,35.30873,-80.72507,Silver,Lot 6,,
104,11/13/2019,7:09:12,2406,2,on,35.31028,-80.73614,Green,Belk Hall S,,
105,11/13/2019,7:10:18,2410,6,on,35.30941,-80.74407,Silver,CRI Deck,,
106,11/13/2019,7:10:31,2401,1,off,35.30351,-80.72952,Green,Robinson Hall S,,
107,11/13/2019,7:10:43,2407,2,on,35.30637,-80.72679,Silver,East Deck 2,,
108,11/13/2019,7:11:18,2409,11,off,35.30813,-80.73276,Silver,Student Union E,,
109,11/13/2019,7:11:20,2409,2,on,35.30813,-80.73276,Silver,Student Union E,,
110,11/13/2019,7:11:22,2406,1,on,35.30811,-80.73288,Green,Student Union E,,
111,11/13/2019,7:12:02,2402,1,on,35.30799,-80.73713,Silver,Student Union W,,
112,11/13/2019,7:12:09,2407,1,off,35.30761,-80.72935,Silver,Fretwell N,,
113,11/13/2019,7:12:32,2409,1,off,35.3081,-80.73041,Silver,Aux Services East,,
114,11/13/2019,7:12:32,2412,1,on,35.31353,-80.73193,Green,North Deck,,
115,11/13/2019,7:12:39,2401,1,off,35.30441,-80.7328,Green,Reese East,,
116,11/13/2019,7:13:18,2402,3,off,35.30934,-80.74133,Silver,EPIC S,,
117,11/13/2019,7:13:20,2406,1,off,35.30701,-80.72952,Green,Fretwell S,,
118,11/13/2019,7:13:24,2407,1,on,35.30814,-80.73269,Silver,Student Union W,,
119,11/13/2019,7:13:28,2407,2,off,35.30814,-80.73269,Silver,Student Union W,,
120,11/13/2019,7:15:26,2406,3,off,35.30352,-80.72956,Green,Robinson Hall S,,
121,11/13/2019,7:15:26,2410,1,off,35.30795,-80.73484,Silver,CRI Deck,,
122,11/13/2019,7:15:28,2407,3,on,35.30815,-80.7327,Silver,Student Union W,,
123,11/13/2019,7:15:44,2409,6,on,35.31031,-80.72665,Silver,Martin Hall,,
124,11/13/2019,7:16:32,2402,3,off,35.30943,-80.74412,Silver,CRI Deck,,
125,11/13/2019,7:16:32,2412,3,on,35.31199,-80.73342,Green,Wallis Hall W/Light Rail,,
126,11/13/2019,7:16:35,2401,3,on,35.30112,-80.73576,Green,South Village Deck,,
127,11/13/2019,7:16:38,2402,5,on,35.30943,-80.74412,Silver,CRI Deck,,
128,11/13/2019,7:16:38,2409,4,on,35.30877,-80.72505,Silver,Lot 6,,
129,11/13/2019,7:16:52,2410,1,on,35.30811,-80.73279,Silver,CRI Deck,,
130,11/13/2019,7:17:36,2410,6,off,35.30809,-80.7328,Silver,CRI Deck,,
131,11/13/2019,7:17:40,2409,2,off,35.30725,-80.72527,Silver,Lot 5A,,
132,11/13/2019,7:17:49,2401,1,off,35.30212,-80.73274,Green,Levine Hall E,,
133,11/13/2019,7:17:56,2407,7,off,35.30937,-80.74133,Silver,EPIC S,,
134,11/13/2019,7:17:58,2403,2,on,35.30336,-80.72945,Gold,Robinson Hall N,,
135,11/13/2019,7:18:25,2412,3,on,35.31024,-80.73618,Green,Belk Hall S,,
136,11/13/2019,7:19:26,2409,3,off,35.3075,-80.7293,Silver,Fretwell N,,
137,11/13/2019,7:20:06,2403,1,off,35.30763,-80.72935,Gold,Fretwell N,,
138,11/13/2019,7:20:20,2406,5,on,35.30117,-80.73578,Green,South Village Deck,,
139,11/13/2019,7:20:44,2409,6,off,35.30811,-80.7327,Silver,Student Union W,,
140,11/13/2019,7:21:04,2409,1,off,35.30809,-80.7327,Silver,Student Union W,,
141,11/13/2019,7:21:11,2401,1,off,35.30758,-80.72932,Green,Fretwell N,,
142,11/13/2019,7:21:13,2408,1,on,35.30512,-80.72827,Gold,Cato Hall S,,
143,11/13/2019,7:21:18,2409,9,on,35.30809,-80.7327,Silver,Student Union W,,
144,11/13/2019,7:21:26,2407,3,on,35.30941,-80.74408,Silver,CRI Deck,,
145,11/13/2019,7:21:39,2412,2,on,35.30813,-80.7328,Green,Student Union E,,
146,11/13/2019,7:21:48,2410,4,on,35.30882,-80.7251,Silver,CRI Deck,,
147,11/13/2019,7:21:54,2406,3,on,35.30117,-80.73578,Green,South Village Deck,,
148,11/13/2019,7:23:07,2412,1,on,35.30806,-80.73039,Green,Aux Services East,,
149,11/13/2019,7:23:28,2410,1,on,35.30636,-80.72684,Silver,CRI Deck,,
150,11/13/2019,7:23:57,2408,4,on,35.30128,-80.73563,Gold,Hunt Hall,,
151,11/13/2019,7:24:38,2402,3,off,35.30812,-80.73279,Silver,Student Union E,,
152,11/13/2019,7:24:41,2412,3,off,35.30701,-80.72953,Green,Fretwell S,,
153,11/13/2019,7:24:42,2406,2,off,35.30339,-80.72947,Green,Robinson Hall N,,
154,11/13/2019,7:24:42,2410,3,off,35.30756,-80.7293,Silver,CRI Deck,,
155,11/13/2019,7:24:46,2409,8,off,35.30938,-80.74133,Silver,EPIC S,,
156,11/13/2019,7:24:53,2401,6,on,35.3135,-80.73189,Green,North Deck,,
157,11/13/2019,7:24:55,2408,1,on,35.30252,-80.73735,Gold,Alumni Way W,,
158,11/13/2019,7:25:36,2406,1,off,35.30512,-80.72823,Green,Cato Hall N,,
159,11/13/2019,7:25:46,2403,1,off,35.31174,-80.73306,Gold,Wallis Hall E/Light Rail,,
160,11/13/2019,7:25:48,2410,1,on,35.3082,-80.73263,Silver,CRI Deck,,
161,11/13/2019,7:25:52,2403,1,on,35.31174,-80.73306,Gold,Wallis Hall E/Light Rail,,
162,11/13/2019,7:25:54,2410,2,off,35.30819,-80.73263,Silver,CRI Deck,,
163,11/13/2019,7:26:18,2402,2,off,35.30806,-80.73042,Silver,Aux Services East,,
164,11/13/2019,7:26:22,2408,1,off,35.3043,-80.73506,Gold,Cone Deck East,,
165,11/13/2019,7:26:27,2412,2,off,35.30352,-80.72953,Green,Robinson Hall S,,
166,11/13/2019,7:26:52,2406,4,off,35.30758,-80.72931,Green,Fretwell N,,
167,11/13/2019,7:28:07,2412,3,off,35.30439,-80.73277,Green,Reese East,,
168,11/13/2019,7:28:14,2401,1,off,35.31196,-80.73337,Green,Wallis Hall W/Light Rail,,
169,11/13/2019,7:28:30,2409,1,off,35.30939,-80.74408,Silver,CRI Deck,,
170,11/13/2019,7:28:32,2401,16,on,35.31196,-80.73337,Green,Wallis Hall W/Light Rail,,
171,11/13/2019,7:28:34,2403,1,on,35.31176,-80.73296,Gold,Wallis Hall E/Light Rail,,
172,11/13/2019,7:28:36,2408,1,on,35.30334,-80.72946,Gold,Robinson Hall N,,
173,11/13/2019,7:28:36,2409,4,on,35.30939,-80.74408,Silver,CRI Deck,,
174,11/13/2019,7:28:36,2409,1,off,35.30939,-80.74408,Silver,CRI Deck,,
175,11/13/2019,7:28:40,2407,2,off,35.30814,-80.73274,Silver,Student Union E,,
176,11/13/2019,7:28:46,2402,9,on,35.3103,-80.72668,Silver,Martin Hall,,
177,11/13/2019,7:28:55,2412,1,off,35.3043,-80.73503,Green,Cone Deck W,,
178,11/13/2019,7:29:30,2407,1,off,35.30808,-80.73038,Silver,Aux Services East,,
179,11/13/2019,7:29:36,2402,1,on,35.30881,-80.72507,Silver,Lot 6,,
180,11/13/2019,7:29:45,2410,1,off,35.3094,-80.74133,Silver,CRI Deck,,
181,11/13/2019,7:30:02,2401,1,off,35.31021,-80.73617,Green,Belk Hall S,,
182,11/13/2019,7:30:32,2402,2,on,35.30722,-80.72524,Silver,Lot 5A,,
183,11/13/2019,7:30:42,2408,3,off,35.30756,-80.72929,Gold,Fretwell N,,
184,11/13/2019,7:30:50,2409,2,on,35.31237,-80.7418,Silver,Duke Centennial Hall East,,
185,11/13/2019,7:30:55,2406,2,on,35.31066,-80.72926,Green,Student Health N,,
186,11/13/2019,7:31:29,2412,7,on,35.30111,-80.73573,Green,South Village Deck,,
187,11/13/2019,7:31:32,2401,1,off,35.3079,-80.73478,Green,Woodward Hall East,,
188,11/13/2019,7:31:51,2403,1,off,35.30702,-80.72952,Gold,Fretwell S,,
189,11/13/2019,7:32:16,2402,1,on,35.30758,-80.72932,Silver,Fretwell N,,
190,11/13/2019,7:32:18,2402,4,off,35.30758,-80.72932,Silver,Fretwell N,,
191,11/13/2019,7:32:29,2406,4,on,35.3137,-80.73202,Green,North Deck,,
192,11/13/2019,7:32:44,2408,3,off,35.30817,-80.73266,Gold,Student Union W,,
193,11/13/2019,7:32:53,2403,1,off,35.30514,-80.72832,Gold,Cato Hall S,,
194,11/13/2019,7:32:54,2401,2,on,35.30807,-80.73277,Green,Student Union E,,
195,11/13/2019,7:32:58,2401,9,off,35.30807,-80.73277,Green,Student Union E,,
196,11/13/2019,7:33:09,2407,5,on,35.3103,-80.72667,Silver,Martin Hall,,
197,11/13/2019,7:33:32,2402,7,off,35.30818,-80.73265,Silver,Student Union W,,
198,11/13/2019,7:33:43,2412,4,on,35.30111,-80.73572,Green,South Village Deck,,
199,11/13/2019,7:33:57,2410,2,on,35.30944,-80.74408,Silver,PORTAL East,,
200,11/13/2019,7:34:10,2401,2,off,35.30805,-80.73038,Green,Aux Services East,,
201,11/13/2019,7:34:14,2409,1,off,35.30803,-80.73481,Silver,Woodward Hall East,,
202,11/13/2019,7:34:35,2407,7,on,35.30878,-80.72504,Silver,Lot 6,,
203,11/13/2019,7:34:42,2402,8,on,35.30817,-80.73266,Silver,Student Union W,,
204,11/13/2019,7:34:49,2403,1,on,35.30194,-80.73304,Gold,Levine Hall W,,
205,11/13/2019,7:34:49,2412,1,on,35.3021,-80.73271,Green,Levine Hall E,,
206,11/13/2019,7:34:51,2412,2,off,35.3021,-80.73271,Green,Levine Hall E,,
207,11/13/2019,7:35:16,2409,3,off,35.30817,-80.7328,Silver,Student Union E,,
208,11/13/2019,7:35:22,2401,7,off,35.30704,-80.72956,Green,Fretwell S,,
209,11/13/2019,7:35:31,2406,5,on,35.31193,-80.73345,Green,Wallis Hall W/Light Rail,,
210,11/13/2019,7:35:51,2407,2,on,35.30718,-80.72526,Silver,Lot 5A,,
211,11/13/2019,7:36:09,2403,6,on,35.30129,-80.73572,Gold,Hunt Hall,,
212,11/13/2019,7:36:14,2409,2,off,35.30806,-80.7304,Silver,Aux Services East,,
213,11/13/2019,7:36:21,2412,1,off,35.30336,-80.72945,Green,Robinson Hall N,,
214,11/13/2019,7:36:31,2407,1,on,35.30634,-80.72682,Silver,East Deck 2,,
215,11/13/2019,7:36:43,2406,3,on,35.31027,-80.73614,Green,Belk Hall S,,
216,11/13/2019,7:36:57,2410,3,on,35.31232,-80.74174,Silver,CRI Deck,,
217,11/13/2019,7:37:09,2403,1,on,35.3013,-80.73572,Gold,Hunt Hall,,
218,11/13/2019,7:37:16,2401,1,off,35.30351,-80.72952,Green,Robinson Hall S,,
219,11/13/2019,7:37:25,2412,4,off,35.30505,-80.7282,Green,Cato Hall N,,
220,11/13/2019,7:37:42,2402,10,off,35.30938,-80.74136,Silver,EPIC S,,
221,11/13/2019,7:37:55,2406,2,off,35.30806,-80.73481,Green,Woodward Hall East,,
222,11/13/2019,7:37:59,2407,3,off,35.30763,-80.72934,Silver,Fretwell N,,
223,11/13/2019,7:38:39,2406,2,off,35.30826,-80.73286,Green,Student Union E,,
224,11/13/2019,7:38:41,2406,1,on,35.30826,-80.73286,Green,Student Union E,,
225,11/13/2019,7:38:47,2412,5,off,35.30757,-80.72933,Green,Fretwell N,,
226,11/13/2019,7:38:55,2410,2,on,35.30993,-80.74187,Silver,CRI Deck,,
227,11/13/2019,7:39:08,2408,5,on,35.31175,-80.73309,Gold,Wallis Hall E/Light Rail,,
228,11/13/2019,7:39:14,2401,1,off,35.30439,-80.7328,Green,Reese East,,
229,11/13/2019,7:39:15,2407,7,off,35.30814,-80.7327,Silver,Student Union W,,
230,11/13/2019,7:39:18,2407,7,on,35.30814,-80.7327,Silver,Student Union W,,
231,11/13/2019,7:39:21,2403,1,off,35.30431,-80.73499,Gold,Cone Deck East,,
232,11/13/2019,7:39:22,2409,7,on,35.31028,-80.72668,Silver,Martin Hall,,
233,11/13/2019,7:40:14,2401,1,off,35.30426,-80.73517,Green,Cone Deck W,,
234,11/13/2019,7:40:15,2403,1,off,35.30443,-80.73282,Gold,Reese East,,
235,11/13/2019,7:40:34,2409,4,on,35.30875,-80.72507,Silver,Lot 6,,
236,11/13/2019,7:40:47,2406,8,off,35.30702,-80.72952,Green,Fretwell S,,
237,11/13/2019,7:41:18,2402,4,on,35.30941,-80.74411,Silver,CRI Deck,,
238,11/13/2019,7:41:19,2412,2,on,35.31352,-80.73185,Green,North Deck,,
239,11/13/2019,7:41:40,2408,4,off,35.30704,-80.72948,Gold,Fretwell S,,
240,11/13/2019,7:41:41,2410,1,on,35.30809,-80.73278,Silver,CRI Deck,,
241,11/13/2019,7:41:43,2406,1,on,35.30516,-80.72832,Green,Cato Hall S,,
242,11/13/2019,7:41:47,2406,2,off,35.30516,-80.72832,Green,Cato Hall S,,
243,11/13/2019,7:42:11,2403,1,on,35.30333,-80.72944,Gold,Robinson Hall N,,
244,11/13/2019,7:42:30,2401,1,on,35.30266,-80.73772,Green,Alumni Way E,,
245,11/13/2019,7:42:41,2410,8,off,35.30814,-80.73045,Silver,CRI Deck,,
246,11/13/2019,7:43:04,2407,9,off,35.30936,-80.74135,Silver,EPIC S,,
