,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2410,0,on,35.3088015,-80.725095,Silver,Lot 6,Lot 6,2019-11-14 02:00:30
1,2410,0,on,35.3072,-80.7252,Silver,Lot 5A,Lot 5A,2019-11-14 02:00:45
2,2410,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-14 02:01:00
3,2410,0,on,35.3075872,-80.7292483,Silver,Fretwell N,Fretwell N,2019-11-14 02:01:15
4,2410,0,on,35.30813,-80.73268,Silver,Student Union W,Student Union W,2019-11-14 02:01:30
5,2410,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-14 02:01:45
6,2410,0,on,35.309368,-80.741265,Silver,EPIC N,EPIC N,2019-11-14 02:02:00
7,2410,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-14 02:02:15
8,2410,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-14 02:02:30
9,2410,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-14 02:02:45
10,2410,6,on,35.30941391,-80.74407196,Silver,CRI Deck,CRI Deck,2019-11-13 07:10:18
11,2410,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 07:10:33
12,2410,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 07:10:48
13,2410,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 07:11:03
14,2410,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 07:11:18
15,2410,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 07:11:33
16,2410,0,off,35.307945251,-80.734840393,Silver,CRI Deck,Woodward Hall East,2019-11-13 07:15:26
17,2410,6,off,35.308094025,-80.732795715,Silver,CRI Deck,Student Union E,2019-11-13 07:17:36
18,2410,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 07:17:51
19,2410,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 07:18:06
20,2410,0,on,35.3107,-80.7293,Silver,Student Health N,Student Health N,2019-11-13 07:18:21
21,2410,0,on,35.310244,-80.726491,Silver,Martin Hall,Martin Hall,2019-11-13 07:18:36
22,2410,-3,on,35.308818817,-80.725097656,Silver,CRI Deck,Lot 6,2019-11-13 07:21:48
23,2410,0,on,35.3072,-80.7252,Silver,Lot 5A,Lot 5A,2019-11-13 07:22:03
24,2410,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-13 07:22:18
25,2410,-2,off,35.307559967,-80.729301453,Silver,CRI Deck,Fretwell N,2019-11-13 07:24:42
26,2410,2,off,35.308193207,-80.732627869,Silver,CRI Deck,Student Union W,2019-11-13 07:25:54
27,2410,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 07:26:09
28,2410,-1,off,35.309402466,-80.741333008,Silver,CRI Deck,EPIC N,2019-11-13 07:29:45
29,2410,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-13 07:30:00
30,2410,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 07:30:15
31,2410,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-13 07:30:30
32,2410,2,on,35.309436798,-80.74407959,Silver,PORTAL East,CRI Deck,2019-11-13 07:33:57
33,2410,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 07:34:12
34,2410,-1,on,35.312320709,-80.741737366,Silver,CRI Deck,Duke Centennial Hall East,2019-11-13 07:36:57
35,2410,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 07:37:12
36,2410,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 07:37:27
37,2410,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 07:37:42
38,2410,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 07:37:57
39,2410,-7,on,35.30809021,-80.732780457,Silver,CRI Deck,Student Union E,2019-11-13 07:41:41
40,2410,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 07:41:56
41,2410,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 07:42:11
42,2410,0,on,35.3107,-80.7293,Silver,Student Health N,Student Health N,2019-11-13 07:42:26
43,2410,0,on,35.310244,-80.726491,Silver,Martin Hall,Martin Hall,2019-11-13 07:42:41
44,2410,-13,on,35.308807373,-80.725097656,Silver,CRI Deck,Lot 6,2019-11-13 07:46:07
45,2410,0,on,35.3072,-80.7252,Silver,Lot 5A,Lot 5A,2019-11-13 07:46:22
46,2410,-1,off,35.306362152,-80.726745605,Silver,CRI Deck,East Deck 2,2019-11-13 07:48:11
47,2410,-9,off,35.307514191,-80.729385376,Silver,CRI Deck,Fretwell N,2019-11-13 07:49:47
48,2410,3,on,35.308181763,-80.732658386,Silver,CRI Deck,Student Union W,2019-11-13 07:51:37
49,2410,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 07:51:52
50,2410,0,on,35.309368,-80.741265,Silver,EPIC N,EPIC N,2019-11-13 07:52:07
51,2410,4,off,35.310894012,-80.741500854,Silver,CRI Deck,Grigg Hall W,2019-11-13 07:55:39
52,2410,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 07:55:54
53,2410,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-13 07:56:09
54,2410,0,off,35.309436798,-80.744033813,Silver,PORTAL East,CRI Deck,2019-11-13 07:59:17
55,2410,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 07:59:32
56,2410,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 07:59:47
57,2410,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 08:00:02
58,2410,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 08:00:17
59,2410,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 08:00:32
60,2410,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 08:00:47
61,2410,0,on,35.30809,-80.73272,Silver,Student Union E,Student Union E,2019-11-13 08:01:02
62,2410,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 08:01:17
