,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2409,0,on,35.3088015,-80.725095,Silver,Lot 6,Lot 6,2019-11-13 21:59:01
1,2409,0,on,35.3072,-80.7252,Silver,Lot 5A,Lot 5A,2019-11-13 21:59:16
2,2409,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-13 21:59:31
3,2409,0,on,35.3075872,-80.7292483,Silver,Fretwell N,Fretwell N,2019-11-13 21:59:46
4,2409,0,on,35.30813,-80.73268,Silver,Student Union W,Student Union W,2019-11-13 22:00:01
5,2409,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 22:00:16
6,2409,0,on,35.309368,-80.741265,Silver,EPIC N,EPIC N,2019-11-13 22:00:31
7,2409,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-13 22:00:46
8,2409,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 22:01:01
9,2409,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-13 22:01:16
10,2409,0,on,35.3094,-80.7441,Silver,CRI Deck,CRI Deck,2019-11-13 22:01:31
11,2409,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 22:01:46
12,2409,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 22:02:01
13,2409,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 22:02:16
14,2409,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 22:02:31
15,2409,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 22:02:46
16,2409,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 22:03:01
17,2409,0,on,35.30809,-80.73272,Silver,Student Union E,Student Union E,2019-11-13 22:03:16
18,2409,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 22:03:31
19,2409,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 22:03:46
20,2409,0,on,35.3107,-80.7293,Silver,Student Health N,Student Health N,2019-11-13 22:04:01
21,2409,3,on,35.310340881,-80.726715088,Silver,Martin Hall,Martin Hall,2019-11-13 06:51:17
22,2409,2,on,35.308799744,-80.725074768,Silver,Lot 6,Lot 6,2019-11-13 06:52:17
23,2409,1,on,35.307209015,-80.725242615,Silver,Lot 5A,Lot 5A,2019-11-13 06:53:20
24,2409,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-13 06:53:35
25,2409,-1,off,35.307579041,-80.729370117,Silver,Fretwell N,Fretwell N,2019-11-13 06:55:05
26,2409,-4,off,35.308132172,-80.732673645,Silver,Student Union W,Student Union W,2019-11-13 06:56:25
27,2409,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 06:56:40
28,2409,-1,off,35.309314728,-80.741333008,Silver,EPIC S,EPIC N,2019-11-13 06:59:44
29,2409,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-13 06:59:59
30,2409,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 07:00:14
31,2409,1,on,35.311019897,-80.743110657,Silver,Portal W,Portal W,2019-11-13 07:02:06
32,2409,11,on,35.30947876,-80.744010925,Silver,CRI Deck,CRI Deck,2019-11-13 07:03:58
33,2409,-1,off,35.311626434,-80.742462158,Silver,PORTAL East,PORTAL East,2019-11-13 07:05:50
34,2409,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 07:06:05
35,2409,1,on,35.311058044,-80.741523743,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 07:07:32
36,2409,1,on,35.30991745,-80.741874695,Silver,EPIC N,EPIC S,2019-11-13 07:08:08
37,2409,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 07:08:23
38,2409,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 07:08:38
39,2409,-9,off,35.308128357,-80.732757568,Silver,Student Union E,Student Union E,2019-11-13 07:11:18
40,2409,-1,off,35.308097839,-80.730407715,Silver,Aux Services East,Aux Services East,2019-11-13 07:12:32
41,2409,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 07:12:47
42,2409,0,on,35.3107,-80.7293,Silver,Student Health N,Student Health N,2019-11-13 07:13:02
43,2409,6,on,35.310310364,-80.726654053,Silver,Martin Hall,Martin Hall,2019-11-13 07:15:44
44,2409,4,on,35.308773041,-80.72505188,Silver,Lot 6,Lot 6,2019-11-13 07:16:38
45,2409,-2,off,35.307247162,-80.725273132,Silver,Lot 5A,Lot 5A,2019-11-13 07:17:40
46,2409,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-13 07:17:55
47,2409,-3,off,35.307502747,-80.729301453,Silver,Fretwell N,Fretwell N,2019-11-13 07:19:26
48,2409,5,off,35.308113098,-80.732696533,Silver,Student Union W,Student Union W,2019-11-13 07:20:44
49,2409,0,on,35.307468,-80.739724,Silver,Athletics Complex W,Athletics Complex W,2019-11-13 07:20:59
50,2409,0,on,35.309368,-80.741265,Silver,EPIC N,EPIC N,2019-11-13 07:21:14
51,2409,0,on,35.3109099,-80.7414292,Silver,Grigg Hall W,Grigg Hall W,2019-11-13 07:21:29
52,2409,0,on,35.3127712,-80.7408974,Silver,Motor Sports,Motor Sports,2019-11-13 07:21:44
53,2409,0,on,35.31106,-80.74313,Silver,Portal W,Portal W,2019-11-13 07:21:59
54,2409,0,on,35.3094,-80.7441,Silver,CRI Deck,CRI Deck,2019-11-13 07:22:14
55,2409,0,on,35.31164,-80.74249,Silver,PORTAL East,PORTAL East,2019-11-13 07:22:29
56,2409,0,on,35.31231,-80.74171,Silver,Duke Centennial Hall East,Duke Centennial Hall East,2019-11-13 07:22:44
57,2409,0,on,35.3110084,-80.7415284,Silver,Grigg Hall E,Grigg Hall E,2019-11-13 07:22:59
58,2409,0,on,35.309912,-80.741863,Silver,EPIC S,EPIC S,2019-11-13 07:23:14
59,2409,0,on,35.3074358,-80.7399452,Silver,Athletics Complex E,Athletics Complex E,2019-11-13 07:23:29
60,2409,0,on,35.3079,-80.7348,Silver,Woodward Hall East,Woodward Hall East,2019-11-13 07:23:44
61,2409,0,on,35.30809,-80.73272,Silver,Student Union E,Student Union E,2019-11-13 07:23:59
62,2409,0,on,35.3080314,-80.7304667,Silver,Aux Services East,Aux Services East,2019-11-13 07:24:14
63,2409,0,on,35.308998108,-80.729255676,Silver,Hickory Hall North,Hickory Hall North,2019-11-13 07:24:29
64,2409,0,on,35.3107,-80.7293,Silver,Student Health N,Student Health N,2019-11-13 07:24:44
65,2409,0,on,35.310244,-80.726491,Silver,Martin Hall,Martin Hall,2019-11-13 07:24:59
66,2409,0,on,35.3088015,-80.725095,Silver,Lot 6,Lot 6,2019-11-13 07:25:14
67,2409,0,on,35.3072,-80.7252,Silver,Lot 5A,Lot 5A,2019-11-13 07:25:29
68,2409,0,on,35.3063,-80.7268,Silver,East Deck 2,East Deck 2,2019-11-13 07:25:44
