,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2401,0,on,35.312,-80.7335,Green,Wallis Hall W,Wallis Hall W,2019-11-13 23:07:49
1,2401,0,on,35.31025,-80.73619,Green,Belk Hall S,Belk Hall S,2019-11-13 23:08:04
2,2401,0,on,35.3079,-80.7348,Green,Woodward Hall East,Woodward Hall East,2019-11-13 23:08:19
3,2401,0,off,35.308052063,-80.732757568,Green,Student Union E,Student Union E,2019-11-13 06:15:08
4,2401,0,on,35.3080314,-80.7304667,Green,Aux Services East,Aux Services East,2019-11-13 06:15:23
5,2401,0,on,35.307,-80.7295,Green,Fretwell S,Fretwell S,2019-11-13 06:15:38
6,2401,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 06:15:53
7,2401,0,on,35.30352,-80.72948,Green,Robinson Hall S,Robinson Hall S,2019-11-13 06:16:08
8,2401,0,on,35.3042998,-80.7326206,Green,Reese East,Reese East,2019-11-13 06:16:23
9,2401,0,on,35.30432,-80.735009,Green,Cone Deck W,Cone Deck W,2019-11-13 06:16:38
10,2401,0,on,35.3026439,-80.7377572,Green,Alumni Way E,Alumni Way E,2019-11-13 06:16:53
11,2401,0,on,35.30113,-80.7357,Green,South Village Deck,South Village Deck,2019-11-13 06:17:08
12,2401,1,on,35.302085876,-80.73274231,Green,Levine Hall E,Levine Hall E,2019-11-13 06:27:56
13,2401,0,on,35.30337,-80.72945,Green,Robinson Hall N,Robinson Hall N,2019-11-13 06:28:11
14,2401,0,on,35.3050917,-80.7281563,Green,Cato Hall N,Cato Hall N,2019-11-13 06:28:26
15,2401,2,on,35.307575226,-80.729324341,Green,Fretwell N,Fretwell N,2019-11-13 06:31:44
16,2401,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 06:31:59
17,2401,-1,off,35.310718536,-80.729278564,Green,Student Health N,Student Health N,2019-11-13 06:33:10
18,2401,-1,off,35.311634064,-80.730377197,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 06:34:02
19,2401,-1,off,35.313545227,-80.731872559,Green,North Deck,North Deck,2019-11-13 06:35:06
20,2401,2,on,35.311988831,-80.733421326,Green,Wallis Hall W/Light Rail,Wallis Hall W,2019-11-13 06:38:34
21,2401,0,on,35.31025,-80.73619,Green,Belk Hall S,Belk Hall S,2019-11-13 06:38:49
22,2401,0,on,35.3079,-80.7348,Green,Woodward Hall East,Woodward Hall East,2019-11-13 06:39:04
23,2401,0,on,35.30809,-80.73272,Green,Student Union E,Student Union E,2019-11-13 06:39:19
24,2401,0,on,35.3080314,-80.7304667,Green,Aux Services East,Aux Services East,2019-11-13 06:39:34
25,2401,0,on,35.307,-80.7295,Green,Fretwell S,Fretwell S,2019-11-13 06:39:49
26,2401,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 06:40:04
27,2401,0,on,35.30352,-80.72948,Green,Robinson Hall S,Robinson Hall S,2019-11-13 06:40:19
28,2401,-1,off,35.304405212,-80.732727051,Green,Reese East,Reese East,2019-11-13 06:47:49
29,2401,0,on,35.30432,-80.735009,Green,Cone Deck W,Cone Deck W,2019-11-13 06:48:04
30,2401,0,on,35.3026439,-80.7377572,Green,Alumni Way E,Alumni Way E,2019-11-13 06:48:19
31,2401,-1,off,35.301101685,-80.735740662,Green,South Village Deck,South Village Deck,2019-11-13 06:51:09
32,2401,0,on,35.3021,-80.7327,Green,Levine Hall E,Levine Hall E,2019-11-13 06:51:24
33,2401,0,on,35.30337,-80.72945,Green,Robinson Hall N,Robinson Hall N,2019-11-13 06:51:39
34,2401,0,on,35.3050917,-80.7281563,Green,Cato Hall N,Cato Hall N,2019-11-13 06:51:54
35,2401,0,on,35.3075872,-80.7292483,Green,Fretwell N,Fretwell N,2019-11-13 06:52:09
36,2401,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 06:52:24
37,2401,1,on,35.310722351,-80.729293823,Green,Student Health N,Student Health N,2019-11-13 06:58:07
38,2401,0,on,35.31166,-80.7304,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 06:58:22
39,2401,0,on,35.3134338,-80.7319048,Green,North Deck,North Deck,2019-11-13 06:58:37
40,2401,1,on,35.311988831,-80.733390808,Green,Wallis Hall W/Light Rail,Wallis Hall W,2019-11-13 07:02:05
41,2401,3,on,35.310237885,-80.736160278,Green,Belk Hall S,Belk Hall S,2019-11-13 07:03:47
42,2401,-1,off,35.307964325,-80.734794617,Green,Woodward Hall East,Woodward Hall East,2019-11-13 07:05:07
43,2401,-2,off,35.308078766,-80.732772827,Green,Student Union E,Student Union E,2019-11-13 07:06:01
44,2401,0,on,35.3080314,-80.7304667,Green,Aux Services East,Aux Services East,2019-11-13 07:06:16
45,2401,0,on,35.307,-80.7295,Green,Fretwell S,Fretwell S,2019-11-13 07:06:31
46,2401,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 07:06:46
47,2401,-1,off,35.303512573,-80.729522705,Green,Robinson Hall S,Robinson Hall S,2019-11-13 07:10:31
48,2401,-1,off,35.304405212,-80.732803345,Green,Reese East,Reese East,2019-11-13 07:12:39
49,2401,0,on,35.30432,-80.735009,Green,Cone Deck W,Cone Deck W,2019-11-13 07:12:54
50,2401,0,on,35.3026439,-80.7377572,Green,Alumni Way E,Alumni Way E,2019-11-13 07:13:09
51,2401,3,on,35.301116943,-80.73575592,Green,South Village Deck,South Village Deck,2019-11-13 07:16:35
52,2401,-1,off,35.302124023,-80.73274231,Green,Levine Hall E,Levine Hall E,2019-11-13 07:17:49
53,2401,0,on,35.30337,-80.72945,Green,Robinson Hall N,Robinson Hall N,2019-11-13 07:18:04
54,2401,0,on,35.3050917,-80.7281563,Green,Cato Hall N,Cato Hall N,2019-11-13 07:18:19
55,2401,-1,off,35.307582855,-80.729316711,Green,Fretwell N,Fretwell N,2019-11-13 07:21:11
56,2401,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 07:21:26
57,2401,0,on,35.3107,-80.7293,Green,Student Health N,Student Health N,2019-11-13 07:21:41
58,2401,0,on,35.31166,-80.7304,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 07:21:56
59,2401,6,on,35.313503265,-80.731887817,Green,North Deck,North Deck,2019-11-13 07:24:53
60,2401,15,off,35.311958313,-80.73336792,Green,Wallis Hall W/Light Rail,Wallis Hall W,2019-11-13 07:28:14
61,2401,-1,off,35.310214996,-80.736167908,Green,Belk Hall S,Belk Hall S,2019-11-13 07:30:02
62,2401,-1,off,35.30790329,-80.734779358,Green,Woodward Hall East,Woodward Hall East,2019-11-13 07:31:32
63,2401,-7,on,35.308067322,-80.732772827,Green,Student Union E,Student Union E,2019-11-13 07:32:54
64,2401,-2,off,35.308048248,-80.730384827,Green,Aux Services East,Aux Services East,2019-11-13 07:34:10
65,2401,-7,off,35.307044983,-80.729560852,Green,Fretwell S,Fretwell S,2019-11-13 07:35:22
66,2401,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 07:35:37
67,2401,-1,off,35.303512573,-80.729515076,Green,Robinson Hall S,Robinson Hall S,2019-11-13 07:37:16
68,2401,-1,off,35.304393768,-80.732795715,Green,Reese East,Reese East,2019-11-13 07:39:14
69,2401,-1,off,35.304264069,-80.735168457,Green,Cone Deck W,Cone Deck W,2019-11-13 07:40:14
70,2401,1,on,35.302661896,-80.737716675,Green,Alumni Way E,Alumni Way E,2019-11-13 07:42:30
71,2401,12,off,35.301086426,-80.735725403,Green,South Village Deck,South Village Deck,2019-11-13 07:43:30
72,2401,2,on,35.302082062,-80.732711792,Green,Levine Hall E,Levine Hall E,2019-11-13 07:45:34
73,2401,-2,off,35.303379059,-80.72946167,Green,Robinson Hall N,Robinson Hall N,2019-11-13 07:46:56
74,2401,-5,off,35.30513382,-80.728218079,Green,Cato Hall N,Cato Hall N,2019-11-13 07:48:02
75,2401,-9,off,35.307678223,-80.729316711,Green,Fretwell N,Fretwell N,2019-11-13 07:49:48
76,2401,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 07:50:03
77,2401,0,on,35.3107,-80.7293,Green,Student Health N,Student Health N,2019-11-13 07:50:18
78,2401,0,on,35.31166,-80.7304,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 07:50:33
79,2401,2,on,35.313518524,-80.731834412,Green,North Deck,North Deck,2019-11-13 07:53:20
80,2401,1,off,35.312004089,-80.733444214,Green,Wallis Hall W/Light Rail,Wallis Hall W,2019-11-13 07:55:58
81,2401,4,on,35.310260773,-80.73614502,Green,Belk Hall S,Belk Hall S,2019-11-13 07:57:30
82,2401,-1,off,35.307945251,-80.734771729,Green,Woodward Hall East,Woodward Hall East,2019-11-13 07:58:50
83,2401,0,off,35.308040619,-80.732765198,Green,Student Union E,Student Union E,2019-11-13 07:59:44
84,2401,0,on,35.3080314,-80.7304667,Green,Aux Services East,Aux Services East,2019-11-13 07:59:59
85,2401,-7,off,35.307048798,-80.729545593,Green,Fretwell S,Fretwell S,2019-11-13 08:02:16
86,2401,0,on,35.305107,-80.7283145,Green,Cato Hall S,Cato Hall S,2019-11-13 08:02:31
87,2401,0,on,35.30352,-80.72948,Green,Robinson Hall S,Robinson Hall S,2019-11-13 08:02:46
88,2401,0,on,35.3042998,-80.7326206,Green,Reese East,Reese East,2019-11-13 08:03:01
89,2401,0,on,35.30432,-80.735009,Green,Cone Deck W,Cone Deck W,2019-11-13 08:03:16
90,2401,0,on,35.3026439,-80.7377572,Green,Alumni Way E,Alumni Way E,2019-11-13 08:03:31
91,2401,5,on,35.30109024,-80.735733032,Green,South Village Deck,South Village Deck,2019-11-13 08:10:55
92,2401,2,on,35.302066803,-80.73274231,Green,Levine Hall E,Levine Hall E,2019-11-13 08:12:11
93,2401,1,on,35.303337097,-80.729454041,Green,Robinson Hall N,Robinson Hall N,2019-11-13 08:13:37
94,2401,0,on,35.3050917,-80.7281563,Green,Cato Hall N,Cato Hall N,2019-11-13 08:13:52
95,2401,-4,off,35.307544708,-80.729316711,Green,Fretwell N,Fretwell N,2019-11-13 08:16:19
96,2401,0,on,35.308998108,-80.729255676,Green,Hickory Hall North,Hickory Hall North,2019-11-13 08:16:34
97,2401,1,on,35.310813904,-80.729286194,Green,Student Health N,Student Health N,2019-11-13 08:18:03
98,2401,0,on,35.31166,-80.7304,Green,Student Health (Green) W,Student Health (Green) W,2019-11-13 08:18:18
