,Bus,Count,OnOff,Latitude,Longitude,Route,Stop,CorrectStop,DateTime
0,2403,0,on,35.3117,-80.733,Gold,Wallis Hall E,Wallis Hall E,2019-11-13 23:07:35
1,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 23:07:50
2,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 23:08:05
3,2403,-1,off,35.306957245,-80.729568481,Gold,Fretwell S,Fretwell S,2019-11-13 06:13:47
4,2403,0,on,35.305107,-80.7283145,Gold,Cato Hall S,Cato Hall S,2019-11-13 06:14:02
5,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 06:14:17
6,2403,0,on,35.3019,-80.733,Gold,Levine Hall W,Levine Hall W,2019-11-13 06:14:32
7,2403,2,on,35.301273346,-80.735664368,Gold,Hunt Hall,Hunt Hall,2019-11-13 06:17:39
8,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 06:17:54
9,2403,0,on,35.3042105,-80.7349259,Gold,Cone Deck East,Cone Deck East,2019-11-13 06:18:09
10,2403,0,on,35.3042998,-80.7326206,Gold,Reese East,Reese East,2019-11-13 06:18:24
11,2403,0,on,35.30337,-80.72945,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 06:18:39
12,2403,1,on,35.305080414,-80.728210449,Gold,Cato Hall N,Cato Hall N,2019-11-13 06:22:21
13,2403,0,on,35.3075872,-80.7292483,Gold,Fretwell N,Fretwell N,2019-11-13 06:22:36
14,2403,3,off,35.30815506,-80.732536316,Gold,Student Union W,Student Union W,2019-11-13 06:24:18
15,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 06:24:33
16,2403,0,on,35.3117,-80.733,Gold,Wallis Hall E,Wallis Hall E,2019-11-13 06:24:48
17,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 06:25:03
18,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 06:25:18
19,2403,0,on,35.307,-80.7295,Gold,Fretwell S,Fretwell S,2019-11-13 06:25:33
20,2403,0,on,35.305107,-80.7283145,Gold,Cato Hall S,Cato Hall S,2019-11-13 06:25:48
21,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 06:26:03
22,2403,0,on,35.3019,-80.733,Gold,Levine Hall W,Levine Hall W,2019-11-13 06:26:18
23,2403,0,on,35.3012,-80.73562,Gold,Hunt Hall,Hunt Hall,2019-11-13 06:26:33
24,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 06:26:48
25,2403,0,on,35.3042105,-80.7349259,Gold,Cone Deck East,Cone Deck East,2019-11-13 06:27:03
26,2403,0,on,35.3042998,-80.7326206,Gold,Reese East,Reese East,2019-11-13 06:27:18
27,2403,0,on,35.30337,-80.72945,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 06:27:33
28,2403,0,on,35.3050917,-80.7281563,Gold,Cato Hall N,Cato Hall N,2019-11-13 06:27:48
29,2403,0,on,35.3075872,-80.7292483,Gold,Fretwell N,Fretwell N,2019-11-13 06:28:03
30,2403,1,on,35.308139801,-80.732696533,Gold,Student Union W,Student Union W,2019-11-13 07:02:52
31,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 07:03:07
32,2403,-1,off,35.311767578,-80.733078003,Gold,Wallis Hall E/Light Rail,Wallis Hall E,2019-11-13 07:06:50
33,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 07:07:05
34,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 07:07:20
35,2403,0,on,35.307,-80.7295,Gold,Fretwell S,Fretwell S,2019-11-13 07:07:35
36,2403,0,on,35.305107,-80.7283145,Gold,Cato Hall S,Cato Hall S,2019-11-13 07:07:50
37,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 07:08:05
38,2403,0,on,35.3019,-80.733,Gold,Levine Hall W,Levine Hall W,2019-11-13 07:08:20
39,2403,0,on,35.3012,-80.73562,Gold,Hunt Hall,Hunt Hall,2019-11-13 07:08:35
40,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 07:08:50
41,2403,0,on,35.3042105,-80.7349259,Gold,Cone Deck East,Cone Deck East,2019-11-13 07:09:05
42,2403,0,on,35.3042998,-80.7326206,Gold,Reese East,Reese East,2019-11-13 07:09:20
43,2403,2,on,35.303356171,-80.729446411,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 07:17:58
44,2403,0,on,35.3050917,-80.7281563,Gold,Cato Hall N,Cato Hall N,2019-11-13 07:18:13
45,2403,-1,off,35.307632446,-80.729354858,Gold,Fretwell N,Fretwell N,2019-11-13 07:20:06
46,2403,0,on,35.30813,-80.73268,Gold,Student Union W,Student Union W,2019-11-13 07:20:21
47,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 07:20:36
48,2403,0,off,35.311737061,-80.733055115,Gold,Wallis Hall E/Light Rail,Wallis Hall E,2019-11-13 07:25:46
49,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 07:26:01
50,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 07:26:16
51,2403,0,on,35.307,-80.7295,Gold,Fretwell S,Fretwell S,2019-11-13 07:26:31
52,2403,0,on,35.305107,-80.7283145,Gold,Cato Hall S,Cato Hall S,2019-11-13 07:26:46
53,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 07:27:01
54,2403,0,on,35.3019,-80.733,Gold,Levine Hall W,Levine Hall W,2019-11-13 07:27:16
55,2403,0,on,35.3012,-80.73562,Gold,Hunt Hall,Hunt Hall,2019-11-13 07:27:31
56,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 07:27:46
57,2403,0,on,35.3042105,-80.7349259,Gold,Cone Deck East,Cone Deck East,2019-11-13 07:28:01
58,2403,0,on,35.3042998,-80.7326206,Gold,Reese East,Reese East,2019-11-13 07:28:16
59,2403,0,on,35.30337,-80.72945,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 07:28:31
60,2403,0,on,35.3050917,-80.7281563,Gold,Cato Hall N,Cato Hall N,2019-11-13 07:28:46
61,2403,0,on,35.3075872,-80.7292483,Gold,Fretwell N,Fretwell N,2019-11-13 07:29:01
62,2403,0,on,35.30813,-80.73268,Gold,Student Union W,Student Union W,2019-11-13 07:29:16
63,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 07:29:31
64,2403,1,on,35.311759949,-80.732963562,Gold,Wallis Hall E/Light Rail,Wallis Hall E,2019-11-13 07:28:34
65,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 07:28:49
66,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 07:29:04
67,2403,-1,off,35.30701828,-80.729522705,Gold,Fretwell S,Fretwell S,2019-11-13 07:31:51
68,2403,-1,off,35.305141449,-80.728317261,Gold,Cato Hall S,Cato Hall S,2019-11-13 07:32:53
69,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 07:33:08
70,2403,1,on,35.301937103,-80.733039856,Gold,Levine Hall W,Levine Hall W,2019-11-13 07:34:49
71,2403,-5,on,35.301288605,-80.735717773,Gold,Hunt Hall,Hunt Hall,2019-11-13 07:36:09
72,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 07:36:24
73,2403,-1,off,35.30430603,-80.734985352,Gold,Cone Deck East,Cone Deck East,2019-11-13 07:39:21
74,2403,-1,off,35.304431915,-80.732818604,Gold,Reese East,Reese East,2019-11-13 07:40:15
75,2403,1,on,35.303329468,-80.729438782,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 07:42:11
76,2403,3,off,35.305011749,-80.72820282,Gold,Cato Hall N,Cato Hall N,2019-11-13 07:43:07
77,2403,0,on,35.3075872,-80.7292483,Gold,Fretwell N,Fretwell N,2019-11-13 07:43:22
78,2403,-7,off,35.30821228,-80.73273468,Gold,Student Union W,Student Union W,2019-11-13 07:46:29
79,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 07:46:44
80,2403,5,off,35.311721802,-80.733093262,Gold,Wallis Hall E/Light Rail,Wallis Hall E,2019-11-13 07:50:45
81,2403,0,on,35.31155,-80.73053,Gold,Student Health E,Student Health E,2019-11-13 07:51:00
82,2403,0,on,35.309135437,-80.729370117,Gold,Hickory Hall South,Hickory Hall South,2019-11-13 07:51:15
83,2403,-6,off,35.307029724,-80.729522705,Gold,Fretwell S,Fretwell S,2019-11-13 07:55:23
84,2403,-2,off,35.305141449,-80.728340149,Gold,Cato Hall S,Cato Hall S,2019-11-13 07:57:27
85,2403,0,on,35.30352,-80.72948,Gold,Robinson Hall S,Robinson Hall S,2019-11-13 07:57:42
86,2403,0,on,35.3019,-80.733,Gold,Levine Hall W,Levine Hall W,2019-11-13 07:57:57
87,2403,1,off,35.301269531,-80.735687256,Gold,Hunt Hall,Hunt Hall,2019-11-13 08:01:51
88,2403,0,on,35.3025,-80.7373,Gold,Alumni Way W,Alumni Way W,2019-11-13 08:02:06
89,2403,0,on,35.3042105,-80.7349259,Gold,Cone Deck East,Cone Deck East,2019-11-13 08:02:21
90,2403,0,on,35.3042998,-80.7326206,Gold,Reese East,Reese East,2019-11-13 08:02:36
91,2403,0,on,35.30337,-80.72945,Gold,Robinson Hall N,Robinson Hall N,2019-11-13 08:02:51
92,2403,0,on,35.3050917,-80.7281563,Gold,Cato Hall N,Cato Hall N,2019-11-13 08:03:06
93,2403,0,on,35.3075872,-80.7292483,Gold,Fretwell N,Fretwell N,2019-11-13 08:03:21
94,2403,0,on,35.30813,-80.73268,Gold,Student Union W,Student Union W,2019-11-13 08:03:36
95,2403,0,on,35.3096306,-80.736329,Gold,Union Deck,Union Deck,2019-11-13 08:03:51
