,Lattitude,Longitude,isStop,Stop
0,35.31190785416634,-80.73350600650485,yes,Wallis Hall W
1,35.311896910518456,-80.73358379056629,no,
2,35.31189034432901,-80.73366425683673,no,
3,35.31187940067876,-80.73375276973422,no,
4,35.31187940067876,-80.73384664704975,no,
5,35.31187940067876,-80.73397807529147,no,
6,35.31190128797778,-80.734071952607,no,
7,35.311936307643926,-80.73418728759464,no,
8,35.31195819492755,-80.73438040664371,no,
9,35.31197132729489,-80.73452524593051,no,
10,35.31197789347776,-80.73462448766406,no,
11,35.31198445966009,-80.73477737357791,no,
12,35.312006346930694,-80.73495171716388,no,
13,35.31201072438411,-80.73507241656955,no,
14,35.31200415820391,-80.73520384481128,no,
15,35.31199540329614,-80.7352789466637,no,
16,35.31196913856715,-80.73536745956119,no,
17,35.3119538174713,-80.7354050104874,no,
18,35.311913916625734,-80.73543183257755,no,
19,35.31188577670598,-80.7355498497742,no,
20,35.311828366469776,-80.73564909150775,no,
21,35.311767081962316,-80.73573223998721,no,
22,35.311710174878094,-80.7357832019585,no,
23,35.31164670154462,-80.73582343509372,no,
24,35.311574473208005,-80.73586903264697,no,
25,35.31151099976804,-80.73591194799121,no,
26,35.3114278275989,-80.73595754554447,no,
27,35.31138186399505,-80.73596559217151,no,
28,35.311327145384986,-80.73597900321658,no,
29,35.31124178427938,-80.7360004608887,no,
30,35.31116955558119,-80.73600850751575,no,
31,35.31108200555753,-80.73599509647067,no,
32,35.311055740531955,-80.73598704984363,no,
33,35.31097694540406,-80.73599241426166,no,
34,35.310913471495205,-80.73599509647067,no,
35,35.310841242503855,-80.7359816854256,no,
36,35.310795278566694,-80.73597363879855,no,
37,35.310727426992656,-80.7359629099625,no,
38,35.31063331019898,-80.7359629099625,no,
39,35.3105435708286,-80.73597632100757,no,
40,35.310488851651456,-80.7360004608887,no,
41,35.31044507628309,-80.7360165541428,no,
42,35.310377224415305,-80.73604337623294,no,
43,35.31033126021447,-80.73606751611408,no,
44,35.31028967353407,-80.73609970262225,no,
45,35.310254653155035,-80.73612920692142,no,
46,35.31023933173445,-80.7361426179665,yes,Belk Hall S
47,35.31019484861157,-80.73615602901157,no,
48,35.31014855225727,-80.73618821551975,no,
49,35.310098210369816,-80.73622844865497,no,
50,35.31003035821108,-80.73627672841724,no,
51,35.309942806954425,-80.73633037259754,no,
52,35.30987057709634,-80.73636792352374,no,
53,35.30978521445363,-80.73641083886798,no,
54,35.309715173243625,-80.73642961433109,no,
55,35.30964950955417,-80.73644302537616,no,
56,35.30954882512681,-80.7364671652573,no,
57,35.309478783712116,-80.73648057630237,no,
58,35.30940217584537,-80.73649935176547,no,
59,35.30934307829859,-80.73652349164661,no,
60,35.309270847905,-80.73653422048267,no,
61,35.309194239841325,-80.7365395849007,no,
62,35.30911544290014,-80.73652885606464,no,
63,35.309054156337275,-80.73652349164661,no,
64,35.30899505853625,-80.73652349164661,no,
65,35.30895565997824,-80.73652885606464,no,
66,35.30895066133491,-80.73652885606464,no,
67,35.30885443340175,-80.73651276281055,no,
68,35.30880270881917,-80.73651812722858,no,
69,35.30872568684134,-80.73652617385562,no,
70,35.3086184348091,-80.73652885606464,no,
71,35.308546203768486,-80.73653422048267,no,
72,35.30846083972824,-80.73654763152774,no,
73,35.30838860854691,-80.73655567815479,no,
74,35.308311999647756,-80.73656104257282,no,
75,35.308220068873,-80.7365583603638,no,
76,35.308147837476696,-80.73655299594577,no,
77,35.30806247301608,-80.73655567815479,no,
78,35.3079880526436,-80.73654763152774,no,
79,35.30795084243168,-80.73654494931873,no,
80,35.30795084243168,-80.73654494931873,no,
81,35.30794208708521,-80.73646180083927,no,
82,35.30793770941162,-80.73638401677783,no,
83,35.30793552057474,-80.73629550388034,no,
84,35.3079311429008,-80.73615066459354,no,
