,Lattitude,Longitude,isStop
0,35.30880335117438,-80.7251011197779,yes
1,35.30875081963496,-80.7250635688517,no
2,35.308711420958005,-80.72503674676155,no
3,35.30865888935888,-80.7250099246714,no
4,35.308593224812,-80.72498310258125,no
5,35.30854069313612,-80.72491872956489,no
6,35.30846189555835,-80.72485435654853,no
7,35.3083874755533,-80.72480071236824,no
8,35.30832181078612,-80.72467196633552,no
9,35.30823863533784,-80.72458077122901,no
10,35.30815545980403,-80.72445738961433,no
11,35.30812919382822,-80.72441447427009,no
12,35.30801975217056,-80.72445738961433,no
13,35.30794095408535,-80.72448957612251,no
14,35.30787966663269,-80.72451103379463,no
15,35.30780962377279,-80.7245593135569,no
16,35.307735203167695,-80.72460759331916,no
17,35.30761700559538,-80.72466123749946,no
18,35.30749880785035,-80.72467733075355,no
19,35.30731932205546,-80.72466660191749,no
20,35.307275544971915,-80.72466660191749,no
21,35.30720987930218,-80.72473097493385,no
22,35.30718799073375,-80.72485435654853,no
23,35.30718799073375,-80.72502601792549,no
24,35.307192368447915,-80.72510648419593,no
25,35.30718799073375,-80.72517622163032,yes
26,35.30716688461337,-80.72527182234192,no
27,35.307155970397375,-80.72546758674845,no
28,35.307125136747054,-80.72555901422893,no
29,35.30707698183827,-80.72570921793377,no
30,35.30700693828339,-80.7258594216386,no
31,35.30694565012314,-80.72598280325329,no
32,35.306866850991725,-80.72610618486797,no
33,35.30681431819482,-80.7261651934663,no
34,35.30674427441254,-80.72622420206463,no
35,35.30666985282741,-80.7263100327531,no
36,35.30658667568068,-80.7264173211137,no
37,35.30652538720205,-80.72648705854809,no
38,35.3064465876613,-80.72658898249065,no
39,35.30640718786213,-80.72665871992504,no
40,35.306315254922815,-80.72677137270367,yes
41,35.306271477295944,-80.7268679322282,no
42,35.306201433043675,-80.72694839849865,no
43,35.30611387764307,-80.72703959360516,no
44,35.306030699924726,-80.72716833963787,no
45,35.30595627768319,-80.72727562799847,no
46,35.30582056636062,-80.72747411146557,no
47,35.30572863275471,-80.7275867642442,no
48,35.30566296582938,-80.72768868818676,no
49,35.30561043225074,-80.72777451887524,no
50,35.30557103204437,-80.72788180723583,no
51,35.305557898637986,-80.72797836676037,no
52,35.30557540984602,-80.72804273977673,no
53,35.305619187849544,-80.72806956186687,no
54,35.3056848548104,-80.72810174837505,no
55,35.305803055205644,-80.72811784162914,no
56,35.305877477588126,-80.72811247721111,no
57,35.30599129992303,-80.72811247721111,no
58,35.30608323323047,-80.72813929930126,no
59,35.30614014427321,-80.72817148580944,no
60,35.30623207741151,-80.72829486742413,no
61,35.30629774387491,-80.7284343422929,no
62,35.306363410285016,-80.72857381716167,no
63,35.306459720923414,-80.72872402086651,no
64,35.30649912069699,-80.72884203806316,no
65,35.30654727594974,-80.72898151293194,no
66,35.306652341856264,-80.72918536081707,no
67,35.30672238571814,-80.72930337801373,no
68,35.30678367404753,-80.72936238661205,no
69,35.306849340063216,-80.72937847986614,no
70,35.306923761483226,-80.72939457312023,no
71,35.307011316007355,-80.7293892087022,no
72,35.30708573727836,-80.72938384428417,no
73,35.30718642477134,-80.72938384428417,no
74,35.30724771274919,-80.72939457312023,no
75,35.307352777746054,-80.7293892087022,no
76,35.30743595410514,-80.72936238661205,no
77,35.30748410880026,-80.72934629335796,no
78,35.30759792887478,-80.72932483568584,yes
79,35.30780704058859,-80.72932483568584,no
80,35.30791887097842,-80.72934092893993,no
81,35.308024247709625,-80.729351657776,no
82,35.30807677972086,-80.72935702219402,no
83,35.308094290383686,-80.72945894613659,no
84,35.308103045713686,-80.7295876921693,no
85,35.308103045713686,-80.72968425169384,no
86,35.308116178706904,-80.72983445539867,no
87,35.308116178706904,-80.72997929468548,no
88,35.30812055637084,-80.73024751558697,no
89,35.30812493403453,-80.73036553278362,no
90,35.30812493403453,-80.73051573648846,no
91,35.308116178706904,-80.73069812670147,no
92,35.30812493403453,-80.73095025434887,no
93,35.30812931169799,-80.73121847525036,no
94,35.30812493403453,-80.73144914522564,no
95,35.30812055637084,-80.73165299311077,no
96,35.30812055637084,-80.73170663729107,no
97,35.30809866804881,-80.73178822320827,no
98,35.308103045713686,-80.73196081549567,no
99,35.30810742337833,-80.73214320570868,no
100,35.30809866804881,-80.73236851126593,no
101,35.30809866804881,-80.73256699473303,no
102,35.30812493403453,-80.7326689186756,yes
103,35.30812055637084,-80.73275474936408,no
104,35.308116178706904,-80.73288885981482,no
105,35.308116178706904,-80.7330122414295,no
106,35.308116178706904,-80.73321072489661,no
107,35.308103045713686,-80.73339847952765,no
108,35.308094290383686,-80.73357550532263,no
109,35.308085535052754,-80.73375253111762,no
110,35.308094290383686,-80.73397247225684,no
111,35.30808115738692,-80.73414413363379,no
112,35.30805926905423,-80.7342889729206,no
113,35.30803738071563,-80.73442844778937,no
114,35.30800235936153,-80.73453037173194,no
115,35.30798922634984,-80.73461620242041,no
116,35.30798922634984,-80.73476104170722,no
117,35.30798922634984,-80.73492733866614,no
118,35.307976093336016,-80.735082906789,no
119,35.307971715664266,-80.73524920374793,no
120,35.307971715664266,-80.73549060255927,no
121,35.3079542049749,-80.73572127253455,no
122,35.3079454496288,-80.73587147623938,no
123,35.30794107195539,-80.73612896830481,no
124,35.30793669428175,-80.73633818060797,no
125,35.30794107195539,-80.73644010455054,no
126,35.3079585826476,-80.73651520640296,no
127,35.3079585826476,-80.73662811900175,no
128,35.3079542049749,-80.7367622294525,no
129,35.30794982730197,-80.73699289942778,no
130,35.3079585826476,-80.73719674731291,no
131,35.307971715664266,-80.73739523078001,no
132,35.3079585826476,-80.73765272284544,no
